"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11715","PDF Current FE","Unity API Automation","Thu May 29 21:59:48 IST 2025","passed","Thu May 29 22:00:00 IST 2025","PDF Detail Statement","Retail","",""
"","1502","Excel Detailed Statement","Unity API Automation","Thu May 29 22:00:54 IST 2025","passed","Thu May 29 22:00:55 IST 2025","Excel Detailed Statement","Business","",""
"","102","Search Beneficiary","Unity API Automation","Thu May 29 22:00:28 IST 2025","passed","Thu May 29 22:00:28 IST 2025","Login","Business","",""
"","492","Beneficiary Add","Unity API Automation","Thu May 29 21:59:29 IST 2025","passed","Thu May 29 21:59:29 IST 2025","Inter Beneficiary","Retail","",""
"","101","Log Out","Unity API Automation","Thu May 29 22:01:33 IST 2025","passed","Thu May 29 22:01:34 IST 2025","Logout","Business","",""
"","391","Verify OTP","Unity API Automation","Thu May 29 22:00:28 IST 2025","passed","Thu May 29 22:00:28 IST 2025","Login","Business","",""
"","100","Log Out","Unity API Automation","Thu May 29 22:00:27 IST 2025","passed","Thu May 29 22:00:27 IST 2025","Logout","Retail","",""
"","571","INTRA Beneficiary Add Validate","Unity API Automation","Thu May 29 22:00:49 IST 2025","passed","Thu May 29 22:00:50 IST 2025","INTRA Beneficiary","Business","",""
"","403","PDF Last FY","Unity API Automation","Thu May 29 22:01:28 IST 2025","failed","Thu May 29 22:01:28 IST 2025","PDF Detail Statement","Business","",""
"","6243","IMPS","Unity API Automation","Thu May 29 22:00:36 IST 2025","passed","Thu May 29 22:00:42 IST 2025","Fund Transfer","Business","",""
"","10909","PDF Custom Range","Unity API Automation","Thu May 29 22:00:16 IST 2025","passed","Thu May 29 22:00:27 IST 2025","PDF Detail Statement","Retail","",""
"","360","Delete Validate","Unity API Automation","Thu May 29 21:59:29 IST 2025","passed","Thu May 29 21:59:30 IST 2025","Inter Beneficiary","Retail","",""
"","377","Beneficiary Search","Unity API Automation","Thu May 29 21:59:27 IST 2025","passed","Thu May 29 21:59:27 IST 2025","INTRA Beneficiary","Retail","",""
"","802","Excel Mini Statement","Unity API Automation","Thu May 29 22:00:56 IST 2025","passed","Thu May 29 22:00:57 IST 2025","Mini Statement","Business","",""
"","567","User Login","Unity API Automation","Thu May 29 21:59:04 IST 2025","passed","Thu May 29 21:59:05 IST 2025","Login","Retail","",""
"","101","Beneficiary Search","Unity API Automation","Thu May 29 22:00:51 IST 2025","passed","Thu May 29 22:00:51 IST 2025","INTRA Beneficiary","Business","",""
"","479","Verify OTP","Unity API Automation","Thu May 29 21:59:05 IST 2025","passed","Thu May 29 21:59:05 IST 2025","Login","Retail","",""
"","584","INTER Beneficiary Add Validate","Unity API Automation","Thu May 29 21:59:28 IST 2025","passed","Thu May 29 21:59:29 IST 2025","Inter Beneficiary","Retail","",""
"","29227","PDF This Month","Unity API Automation","Thu May 29 22:00:57 IST 2025","passed","Thu May 29 22:01:26 IST 2025","PDF Detail Statement","Business","",""
"","15181","PDF Last 90 Days","Unity API Automation","Thu May 29 22:00:01 IST 2025","passed","Thu May 29 22:00:16 IST 2025","PDF Detail Statement","Retail","",""
