"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7000","NEFT","Unity API Automation","Thu May 29 22:24:29 IST 2025","passed","Thu May 29 22:24:36 IST 2025","Fund Transfer","Retail","",""
"","620","beneficiary Delete","Unity API Automation","Thu May 29 22:26:09 IST 2025","passed","Thu May 29 22:26:10 IST 2025","Inter Beneficiary","Business","",""
"","3939","Excel Detailed Statement","Unity API Automation","Thu May 29 22:24:53 IST 2025","passed","Thu May 29 22:24:57 IST 2025","Excel Detailed Statement","Retail","",""
"","436","Verify OTP","Unity API Automation","Thu May 29 22:24:28 IST 2025","passed","Thu May 29 22:24:28 IST 2025","Login","Retail","",""
"","740","PDF Custom Range","Unity API Automation","Thu May 29 22:26:18 IST 2025","passed","Thu May 29 22:26:19 IST 2025","PDF Detail Statement","Business","",""
"","1177","PDF Mini Statement","Unity API Automation","Thu May 29 22:24:57 IST 2025","passed","Thu May 29 22:24:58 IST 2025","Mini Statement","Retail","",""
"","326","Delete Validate","Unity API Automation","Thu May 29 22:26:09 IST 2025","passed","Thu May 29 22:26:09 IST 2025","Inter Beneficiary","Business","",""
"","1122","Beneficiary add","Unity API Automation","Thu May 29 22:24:48 IST 2025","passed","Thu May 29 22:24:49 IST 2025","INTRA Beneficiary","Retail","",""
"","1139","Excel Mini Statement","Unity API Automation","Thu May 29 22:24:58 IST 2025","passed","Thu May 29 22:24:59 IST 2025","Mini Statement","Retail","",""
"","1226","PDF Current FE","Unity API Automation","Thu May 29 22:26:15 IST 2025","passed","Thu May 29 22:26:16 IST 2025","PDF Detail Statement","Business","",""
"","248","Beneficiary Search","Unity API Automation","Thu May 29 22:24:52 IST 2025","passed","Thu May 29 22:24:52 IST 2025","Inter Beneficiary","Retail","",""
"","437","Beneficiary Search","Unity API Automation","Thu May 29 22:24:49 IST 2025","passed","Thu May 29 22:24:49 IST 2025","INTRA Beneficiary","Retail","",""
