"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","936","Account","Unity API Automation","Thu May 29 22:25:50 IST 2025","passed","Thu May 29 22:25:51 IST 2025","Login","Business","",""
"","943","PDF Mini Statement","Unity API Automation","Thu May 29 22:26:11 IST 2025","passed","Thu May 29 22:26:12 IST 2025","Mini Statement","Business","",""
"","1677","PDF This Month","Unity API Automation","Thu May 29 22:26:13 IST 2025","passed","Thu May 29 22:26:14 IST 2025","PDF Detail Statement","Business","",""
"","365","User Login","Unity API Automation","Thu May 29 22:25:49 IST 2025","passed","Thu May 29 22:25:49 IST 2025","Login","Business","",""
"","6355","PDF Last Month","Unity API Automation","Thu May 29 22:25:04 IST 2025","passed","Thu May 29 22:25:11 IST 2025","PDF Detail Statement","Retail","",""
"","5542","INTRA","Unity API Automation","Thu May 29 22:24:41 IST 2025","passed","Thu May 29 22:24:47 IST 2025","Fund Transfer","Retail","",""
"","202","Search Beneficiary","Unity API Automation","Thu May 29 22:24:28 IST 2025","passed","Thu May 29 22:24:28 IST 2025","Login","Retail","",""
"","15263","PDF Last 90 Days","Unity API Automation","Thu May 29 22:25:22 IST 2025","passed","Thu May 29 22:25:37 IST 2025","PDF Detail Statement","Retail","",""
"","5124","INTRA","Unity API Automation","Thu May 29 22:26:00 IST 2025","passed","Thu May 29 22:26:05 IST 2025","Fund Transfer","Business","",""
"","181","Delete Validate","Unity API Automation","Thu May 29 22:26:06 IST 2025","passed","Thu May 29 22:26:06 IST 2025","INTRA Beneficiary","Business","",""
"","10228","PDF Current FE","Unity API Automation","Thu May 29 22:25:11 IST 2025","passed","Thu May 29 22:25:21 IST 2025","PDF Detail Statement","Retail","",""
"","498","Beneficiary Search","Unity API Automation","Thu May 29 22:26:08 IST 2025","passed","Thu May 29 22:26:09 IST 2025","Inter Beneficiary","Business","",""
"","1740","PDF Last 90 Days","Unity API Automation","Thu May 29 22:26:16 IST 2025","passed","Thu May 29 22:26:18 IST 2025","PDF Detail Statement","Business","",""
"","906","Excel Mini Statement","Unity API Automation","Thu May 29 22:26:12 IST 2025","passed","Thu May 29 22:26:13 IST 2025","Mini Statement","Business","",""
"","417","PDF Last FY","Unity API Automation","Thu May 29 22:26:16 IST 2025","failed","Thu May 29 22:26:16 IST 2025","PDF Detail Statement","Business","",""
"","426","beneficiary Delete","Unity API Automation","Thu May 29 22:24:50 IST 2025","passed","Thu May 29 22:24:50 IST 2025","INTRA Beneficiary","Retail","",""
"","4739","NEFT","Unity API Automation","Thu May 29 22:25:51 IST 2025","passed","Thu May 29 22:25:56 IST 2025","Fund Transfer","Business","",""
"","4055","IMPS","Unity API Automation","Thu May 29 22:25:56 IST 2025","passed","Thu May 29 22:26:00 IST 2025","Fund Transfer","Business","",""
"","243","Beneficiary Search","Unity API Automation","Thu May 29 22:26:06 IST 2025","passed","Thu May 29 22:26:06 IST 2025","INTRA Beneficiary","Business","",""
"","671","INTRA Beneficiary Add Validate","Unity API Automation","Thu May 29 22:26:05 IST 2025","passed","Thu May 29 22:26:06 IST 2025","INTRA Beneficiary","Business","",""
"","1120","INTRA Beneficiary Add Validate","Unity API Automation","Thu May 29 22:24:47 IST 2025","passed","Thu May 29 22:24:48 IST 2025","INTRA Beneficiary","Retail","",""
"","900","PDF Last FY","Unity API Automation","Thu May 29 22:25:21 IST 2025","passed","Thu May 29 22:25:22 IST 2025","PDF Detail Statement","Retail","",""
"","104","Log Out","Unity API Automation","Thu May 29 22:26:19 IST 2025","passed","Thu May 29 22:26:19 IST 2025","Logout","Business","",""
"","789","Beneficiary Add","Unity API Automation","Thu May 29 22:26:07 IST 2025","passed","Thu May 29 22:26:08 IST 2025","Inter Beneficiary","Business","",""
"","11780","PDF Custom Range","Unity API Automation","Thu May 29 22:25:37 IST 2025","passed","Thu May 29 22:25:49 IST 2025","PDF Detail Statement","Retail","",""
"","918","INTER Beneficiary Add Validate","Unity API Automation","Thu May 29 22:24:50 IST 2025","passed","Thu May 29 22:24:51 IST 2025","Inter Beneficiary","Retail","",""
"","601","INTER Beneficiary Add Validate","Unity API Automation","Thu May 29 22:26:07 IST 2025","passed","Thu May 29 22:26:07 IST 2025","Inter Beneficiary","Business","",""
"","411","beneficiary Delete","Unity API Automation","Thu May 29 22:26:06 IST 2025","passed","Thu May 29 22:26:07 IST 2025","INTRA Beneficiary","Business","",""
"","163","Log Out","Unity API Automation","Thu May 29 22:25:49 IST 2025","passed","Thu May 29 22:25:49 IST 2025","Logout","Retail","",""
"","773","Delete Validate","Unity API Automation","Thu May 29 22:24:49 IST 2025","passed","Thu May 29 22:24:50 IST 2025","INTRA Beneficiary","Retail","",""
"","255","Search Beneficiary","Unity API Automation","Thu May 29 22:25:50 IST 2025","passed","Thu May 29 22:25:50 IST 2025","Login","Business","",""
"","397","PDF Last Month","Unity API Automation","Thu May 29 22:26:14 IST 2025","failed","Thu May 29 22:26:15 IST 2025","PDF Detail Statement","Business","",""
"","400","Verify OTP","Unity API Automation","Thu May 29 22:25:49 IST 2025","passed","Thu May 29 22:25:50 IST 2025","Login","Business","",""
"","177","Delete Validate","Unity API Automation","Thu May 29 22:24:52 IST 2025","passed","Thu May 29 22:24:52 IST 2025","Inter Beneficiary","Retail","",""
"","1111","Excel Detailed Statement","Unity API Automation","Thu May 29 22:26:10 IST 2025","passed","Thu May 29 22:26:11 IST 2025","Excel Detailed Statement","Business","",""
"","375","beneficiary Delete","Unity API Automation","Thu May 29 22:24:52 IST 2025","passed","Thu May 29 22:24:53 IST 2025","Inter Beneficiary","Retail","",""
"","5154","IMPS","Unity API Automation","Thu May 29 22:24:36 IST 2025","passed","Thu May 29 22:24:41 IST 2025","Fund Transfer","Retail","",""
"","619","Beneficiary Add","Unity API Automation","Thu May 29 22:24:51 IST 2025","passed","Thu May 29 22:24:52 IST 2025","Inter Beneficiary","Retail","",""
"","364","Account","Unity API Automation","Thu May 29 22:24:28 IST 2025","passed","Thu May 29 22:24:29 IST 2025","Login","Retail","",""
"","677","User Login","Unity API Automation","Thu May 29 22:24:27 IST 2025","passed","Thu May 29 22:24:28 IST 2025","Login","Retail","",""
"","5325","PDF This Month","Unity API Automation","Thu May 29 22:24:59 IST 2025","passed","Thu May 29 22:25:04 IST 2025","PDF Detail Statement","Retail","",""
"","197","Beneficiary add","Unity API Automation","Thu May 29 22:26:06 IST 2025","passed","Thu May 29 22:26:06 IST 2025","INTRA Beneficiary","Business","",""
