"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","406","PDF Last FY","Unity API Automation","Fri May 30 01:53:49 IST 2025","failed","Fri May 30 01:53:49 IST 2025","PDF Detail Statement","Business","",""
"","6562","NEFT","Unity API Automation","Fri May 30 01:51:40 IST 2025","passed","Fri May 30 01:51:47 IST 2025","Fund Transfer","Retail","",""
"","277","beneficiary Delete","Unity API Automation","Fri May 30 01:53:40 IST 2025","passed","Fri May 30 01:53:40 IST 2025","INTRA Beneficiary","Business","",""
"","679","Excel Mini Statement","Unity API Automation","Fri May 30 01:53:45 IST 2025","passed","Fri May 30 01:53:46 IST 2025","Mini Statement","Business","",""
"","339","Beneficiary Search","Unity API Automation","Fri May 30 01:53:39 IST 2025","passed","Fri May 30 01:53:40 IST 2025","INTRA Beneficiary","Business","",""
"","1567","User Login","Unity API Automation","Fri May 30 01:51:37 IST 2025","passed","Fri May 30 01:51:39 IST 2025","Login","Retail","",""
"","14009","PDF Last 90 Days","Unity API Automation","Fri May 30 01:52:41 IST 2025","passed","Fri May 30 01:52:55 IST 2025","PDF Detail Statement","Retail","",""
"","15637","PDF Current FE","Unity API Automation","Fri May 30 01:52:25 IST 2025","passed","Fri May 30 01:52:40 IST 2025","PDF Detail Statement","Retail","",""
"","1596","PDF Last 90 Days","Unity API Automation","Fri May 30 01:53:49 IST 2025","passed","Fri May 30 01:53:51 IST 2025","PDF Detail Statement","Business","",""
"","1272","PDF This Month","Unity API Automation","Fri May 30 01:53:46 IST 2025","passed","Fri May 30 01:53:47 IST 2025","PDF Detail Statement","Business","",""
"","1902","Excel Detailed Statement","Unity API Automation","Fri May 30 01:53:42 IST 2025","passed","Fri May 30 01:53:44 IST 2025","Excel Detailed Statement","Business","",""
"","806","PDF Custom Range","Unity API Automation","Fri May 30 01:53:51 IST 2025","passed","Fri May 30 01:53:52 IST 2025","PDF Detail Statement","Business","",""
"","3117","Excel Detailed Statement","Unity API Automation","Fri May 30 01:52:04 IST 2025","passed","Fri May 30 01:52:07 IST 2025","Excel Detailed Statement","Retail","",""
"","4596","INTRA","Unity API Automation","Fri May 30 01:51:55 IST 2025","passed","Fri May 30 01:51:59 IST 2025","Fund Transfer","Retail","",""
"","272","Beneficiary Search","Unity API Automation","Fri May 30 01:52:01 IST 2025","passed","Fri May 30 01:52:01 IST 2025","INTRA Beneficiary","Retail","",""
"","744","PDF Mini Statement","Unity API Automation","Fri May 30 01:53:44 IST 2025","passed","Fri May 30 01:53:45 IST 2025","Mini Statement","Business","",""
"","436","Verify OTP","Unity API Automation","Fri May 30 01:51:39 IST 2025","passed","Fri May 30 01:51:39 IST 2025","Login","Retail","",""
"","954","PDF Last FY","Unity API Automation","Fri May 30 01:52:40 IST 2025","passed","Fri May 30 01:52:41 IST 2025","PDF Detail Statement","Retail","",""
"","332","Delete Validate","Unity API Automation","Fri May 30 01:53:41 IST 2025","passed","Fri May 30 01:53:42 IST 2025","Inter Beneficiary","Business","",""
"","1638","PDF Current FE","Unity API Automation","Fri May 30 01:53:47 IST 2025","passed","Fri May 30 01:53:49 IST 2025","PDF Detail Statement","Business","",""
"","459","PDF Last Month","Unity API Automation","Fri May 30 01:53:47 IST 2025","failed","Fri May 30 01:53:47 IST 2025","PDF Detail Statement","Business","",""
