"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 28 07:02:44 UTC 2025","Wed May 28 07:02:44 UTC 2025","263","A - A - A - Unity API Automation","Login","","","","User Login",""
"failed","Wed May 28 07:02:50 UTC 2025","Wed May 28 07:02:50 UTC 2025","264","A - A - A - Unity API Automation","Mini Statement","","","","Excel Mini Statement",""
"failed","Wed May 28 07:02:51 UTC 2025","Wed May 28 07:02:52 UTC 2025","263","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Custom Range",""
"failed","Wed May 28 07:02:44 UTC 2025","Wed May 28 07:02:45 UTC 2025","266","A - A - A - Unity API Automation","Login","","","","Search Beneficiary",""
"passed","Wed May 28 07:02:44 UTC 2025","Wed May 28 07:02:44 UTC 2025","263","A - A - A - Unity API Automation","Login","","","","Verify OTP",""
"passed","Wed May 28 07:02:48 UTC 2025","Wed May 28 07:02:48 UTC 2025","260","A - A - A - Unity API Automation","Inter Beneficiary","","","","INTER Beneficiary Add Validate",""
"passed","Wed May 28 07:02:47 UTC 2025","Wed May 28 07:02:48 UTC 2025","261","A - A - A - Unity API Automation","INTRA Beneficiary","","","","Delete Validate",""
"passed","Wed May 28 07:02:47 UTC 2025","Wed May 28 07:02:47 UTC 2025","261","A - A - A - Unity API Automation","INTRA Beneficiary","","","","Beneficiary add",""
"failed","Wed May 28 07:02:52 UTC 2025","Wed May 28 07:02:52 UTC 2025","265","A - A - A - Unity API Automation","","","","","Log Out",""
"passed","Wed May 28 07:02:49 UTC 2025","Wed May 28 07:02:49 UTC 2025","264","A - A - A - Unity API Automation","Inter Beneficiary","","","","Delete Validate",""
"failed","Wed May 28 07:02:49 UTC 2025","Wed May 28 07:02:50 UTC 2025","262","A - A - A - Unity API Automation","Mini Statement","","","","PDF Mini Statement",""
"failed","Wed May 28 07:02:46 UTC 2025","Wed May 28 07:02:47 UTC 2025","511","A - A - A - Unity API Automation","Fund Transfer","","","","INTRA",""
"failed","Wed May 28 07:02:51 UTC 2025","Wed May 28 07:02:51 UTC 2025","265","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Last 90 Days",""
"failed","Wed May 28 07:02:50 UTC 2025","Wed May 28 07:02:50 UTC 2025","263","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF This Month",""
"failed","Wed May 28 07:02:46 UTC 2025","Wed May 28 07:02:46 UTC 2025","513","A - A - A - Unity API Automation","Fund Transfer","","","","IMPS",""
"failed","Wed May 28 07:02:45 UTC 2025","Wed May 28 07:02:46 UTC 2025","522","A - A - A - Unity API Automation","Fund Transfer","","","","NEFT",""
"passed","Wed May 28 07:02:48 UTC 2025","Wed May 28 07:02:48 UTC 2025","260","A - A - A - Unity API Automation","Inter Beneficiary","","","","Beneficiary Add",""
"failed","Wed May 28 07:02:49 UTC 2025","Wed May 28 07:02:49 UTC 2025","261","A - A - A - Unity API Automation","Inter Beneficiary","","","","beneficiary Delete",""
"failed","Wed May 28 07:02:45 UTC 2025","Wed May 28 07:02:45 UTC 2025","268","A - A - A - Unity API Automation","Login","","","","Account",""
"failed","Wed May 28 07:02:48 UTC 2025","Wed May 28 07:02:48 UTC 2025","263","A - A - A - Unity API Automation","INTRA Beneficiary","","","","beneficiary Delete",""
"failed","Wed May 28 07:02:50 UTC 2025","Wed May 28 07:02:51 UTC 2025","264","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Last Month",""
"failed","Wed May 28 07:02:51 UTC 2025","Wed May 28 07:02:51 UTC 2025","263","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Current FE",""
"passed","Wed May 28 07:02:47 UTC 2025","Wed May 28 07:02:47 UTC 2025","262","A - A - A - Unity API Automation","INTRA Beneficiary","","","","Beneficiary Search",""
"failed","Wed May 28 07:02:49 UTC 2025","Wed May 28 07:02:49 UTC 2025","266","A - A - A - Unity API Automation","Excel Detailed Statement","","","","Excel Detailed Statement",""
"passed","Wed May 28 07:02:48 UTC 2025","Wed May 28 07:02:49 UTC 2025","261","A - A - A - Unity API Automation","Inter Beneficiary","","","","Beneficiary Search",""
"failed","Wed May 28 07:02:51 UTC 2025","Wed May 28 07:02:51 UTC 2025","262","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Last FY",""
"passed","Wed May 28 07:02:47 UTC 2025","Wed May 28 07:02:47 UTC 2025","260","A - A - A - Unity API Automation","INTRA Beneficiary","","","","INTRA Beneficiary Add Validate",""
