"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 29 05:39:03 UTC 2025","Thu May 29 05:39:03 UTC 2025","226","A - A - A - Unity API Automation","Login","","","","User Login",""
"failed","Thu May 29 05:39:07 UTC 2025","Thu May 29 05:39:07 UTC 2025","228","A - A - A - Unity API Automation","Excel Detailed Statement","","","","Excel Detailed Statement",""
"passed","Thu May 29 05:39:05 UTC 2025","Thu May 29 05:39:05 UTC 2025","227","A - A - A - Unity API Automation","INTRA Beneficiary","","","","Beneficiary Search",""
"failed","Thu May 29 05:39:07 UTC 2025","Thu May 29 05:39:07 UTC 2025","225","A - A - A - Unity API Automation","Inter Beneficiary","","","","beneficiary Delete",""
"failed","Thu May 29 05:39:04 UTC 2025","Thu May 29 05:39:05 UTC 2025","437","A - A - A - Unity API Automation","Fund Transfer","","","","INTRA",""
"passed","Thu May 29 05:39:05 UTC 2025","Thu May 29 05:39:05 UTC 2025","225","A - A - A - Unity API Automation","INTRA Beneficiary","","","","Beneficiary add",""
"failed","Thu May 29 05:39:07 UTC 2025","Thu May 29 05:39:07 UTC 2025","227","A - A - A - Unity API Automation","Mini Statement","","","","PDF Mini Statement",""
"failed","Thu May 29 05:39:08 UTC 2025","Thu May 29 05:39:08 UTC 2025","226","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Current FE",""
"failed","Thu May 29 05:39:08 UTC 2025","Thu May 29 05:39:08 UTC 2025","227","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Last Month",""
"passed","Thu May 29 05:39:05 UTC 2025","Thu May 29 05:39:05 UTC 2025","226","A - A - A - Unity API Automation","INTRA Beneficiary","","","","INTRA Beneficiary Add Validate",""
"failed","Thu May 29 05:39:03 UTC 2025","Thu May 29 05:39:03 UTC 2025","228","A - A - A - Unity API Automation","Login","","","","Search Beneficiary",""
"passed","Thu May 29 05:39:06 UTC 2025","Thu May 29 05:39:06 UTC 2025","225","A - A - A - Unity API Automation","Inter Beneficiary","","","","INTER Beneficiary Add Validate",""
"passed","Thu May 29 05:39:03 UTC 2025","Thu May 29 05:39:03 UTC 2025","224","A - A - A - Unity API Automation","Login","","","","Verify OTP",""
"failed","Thu May 29 05:39:08 UTC 2025","Thu May 29 05:39:08 UTC 2025","226","A - A - A - Unity API Automation","Mini Statement","","","","Excel Mini Statement",""
"failed","Thu May 29 05:39:09 UTC 2025","Thu May 29 05:39:09 UTC 2025","228","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Custom Range",""
"failed","Thu May 29 05:39:03 UTC 2025","Thu May 29 05:39:04 UTC 2025","437","A - A - A - Unity API Automation","Fund Transfer","","","","NEFT",""
"passed","Thu May 29 05:39:07 UTC 2025","Thu May 29 05:39:07 UTC 2025","225","A - A - A - Unity API Automation","Inter Beneficiary","","","","Delete Validate",""
"failed","Thu May 29 05:39:08 UTC 2025","Thu May 29 05:39:09 UTC 2025","228","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Last FY",""
"failed","Thu May 29 05:39:09 UTC 2025","Thu May 29 05:39:09 UTC 2025","226","A - A - A - Unity API Automation","","","","","Log Out",""
"passed","Thu May 29 05:39:06 UTC 2025","Thu May 29 05:39:06 UTC 2025","225","A - A - A - Unity API Automation","Inter Beneficiary","","","","Beneficiary Add",""
"failed","Thu May 29 05:39:03 UTC 2025","Thu May 29 05:39:03 UTC 2025","227","A - A - A - Unity API Automation","Login","","","","Account",""
"failed","Thu May 29 05:39:06 UTC 2025","Thu May 29 05:39:06 UTC 2025","228","A - A - A - Unity API Automation","INTRA Beneficiary","","","","beneficiary Delete",""
"failed","Thu May 29 05:39:04 UTC 2025","Thu May 29 05:39:04 UTC 2025","437","A - A - A - Unity API Automation","Fund Transfer","","","","IMPS",""
"passed","Thu May 29 05:39:06 UTC 2025","Thu May 29 05:39:07 UTC 2025","239","A - A - A - Unity API Automation","Inter Beneficiary","","","","Beneficiary Search",""
"passed","Thu May 29 05:39:05 UTC 2025","Thu May 29 05:39:06 UTC 2025","223","A - A - A - Unity API Automation","INTRA Beneficiary","","","","Delete Validate",""
"failed","Thu May 29 05:39:08 UTC 2025","Thu May 29 05:39:08 UTC 2025","228","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF This Month",""
"failed","Thu May 29 05:39:09 UTC 2025","Thu May 29 05:39:09 UTC 2025","228","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Last 90 Days",""
