"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","997","beneficiary Delete","Unity API Automation","Fri May 30 02:03:21 IST 2025","passed","Fri May 30 02:03:22 IST 2025","INTRA Beneficiary","Business","",""
"","1601","PDF This Month","Unity API Automation","Fri May 30 02:03:28 IST 2025","passed","Fri May 30 02:03:30 IST 2025","PDF Detail Statement","Business","",""
"","7218","NEFT","Unity API Automation","Fri May 30 02:02:57 IST 2025","passed","Fri May 30 02:03:04 IST 2025","Fund Transfer","Business","",""
"","1179","PDF Current FE","Unity API Automation","Fri May 30 02:03:30 IST 2025","passed","Fri May 30 02:03:32 IST 2025","PDF Detail Statement","Business","",""
"","579","Beneficiary add","Unity API Automation","Fri May 30 02:03:21 IST 2025","passed","Fri May 30 02:03:21 IST 2025","INTRA Beneficiary","Business","",""
"","1139","PDF Last 90 Days","Unity API Automation","Fri May 30 02:03:32 IST 2025","passed","Fri May 30 02:03:33 IST 2025","PDF Detail Statement","Business","",""
"","5836","IMPS","Unity API Automation","Fri May 30 02:00:33 IST 2025","passed","Fri May 30 02:00:39 IST 2025","Fund Transfer","Retail","",""
"","1637","User Login","Unity API Automation","Fri May 30 02:00:25 IST 2025","passed","Fri May 30 02:00:27 IST 2025","Login","Retail","",""
"","908","INTRA Beneficiary Add Validate","Unity API Automation","Fri May 30 02:03:20 IST 2025","passed","Fri May 30 02:03:21 IST 2025","INTRA Beneficiary","Business","",""
"","3843","Excel Detailed Statement","Unity API Automation","Fri May 30 02:00:56 IST 2025","passed","Fri May 30 02:01:00 IST 2025","Excel Detailed Statement","Retail","",""
"","5427","INTRA","Unity API Automation","Fri May 30 02:00:39 IST 2025","passed","Fri May 30 02:00:44 IST 2025","Fund Transfer","Retail","",""
"","2146","Excel Mini Statement","Unity API Automation","Fri May 30 02:01:02 IST 2025","passed","Fri May 30 02:01:04 IST 2025","Mini Statement","Retail","",""
