"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed May 28 07:40:47 UTC 2025","Wed May 28 07:40:48 UTC 2025","279","A - A - A - Unity API Automation","Login","","","","Search Beneficiary",""
"passed","Wed May 28 07:40:47 UTC 2025","Wed May 28 07:40:47 UTC 2025","267","A - A - A - Unity API Automation","Login","","","","Verify OTP",""
"failed","Wed May 28 07:40:54 UTC 2025","Wed May 28 07:40:54 UTC 2025","249","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Last 90 Days",""
"failed","Wed May 28 07:40:48 UTC 2025","Wed May 28 07:40:48 UTC 2025","269","A - A - A - Unity API Automation","Login","","","","Account",""
"failed","Wed May 28 07:40:53 UTC 2025","Wed May 28 07:40:53 UTC 2025","256","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF This Month",""
"failed","Wed May 28 07:40:53 UTC 2025","Wed May 28 07:40:53 UTC 2025","249","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Last Month",""
"passed","Wed May 28 07:40:51 UTC 2025","Wed May 28 07:40:52 UTC 2025","249","A - A - A - Unity API Automation","Inter Beneficiary","","","","Delete Validate",""
"passed","Wed May 28 07:40:51 UTC 2025","Wed May 28 07:40:51 UTC 2025","249","A - A - A - Unity API Automation","Inter Beneficiary","","","","INTER Beneficiary Add Validate",""
"failed","Wed May 28 07:40:52 UTC 2025","Wed May 28 07:40:52 UTC 2025","250","A - A - A - Unity API Automation","Inter Beneficiary","","","","beneficiary Delete",""
"failed","Wed May 28 07:40:52 UTC 2025","Wed May 28 07:40:53 UTC 2025","249","A - A - A - Unity API Automation","Mini Statement","","","","Excel Mini Statement",""
"passed","Wed May 28 07:40:51 UTC 2025","Wed May 28 07:40:51 UTC 2025","248","A - A - A - Unity API Automation","Inter Beneficiary","","","","Beneficiary Search",""
"failed","Wed May 28 07:40:53 UTC 2025","Wed May 28 07:40:53 UTC 2025","250","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Current FE",""
"failed","Wed May 28 07:40:48 UTC 2025","Wed May 28 07:40:49 UTC 2025","507","A - A - A - Unity API Automation","Fund Transfer","","","","IMPS",""
"failed","Wed May 28 07:40:50 UTC 2025","Wed May 28 07:40:51 UTC 2025","252","A - A - A - Unity API Automation","INTRA Beneficiary","","","","beneficiary Delete",""
"passed","Wed May 28 07:40:51 UTC 2025","Wed May 28 07:40:51 UTC 2025","246","A - A - A - Unity API Automation","Inter Beneficiary","","","","Beneficiary Add",""
"failed","Wed May 28 07:40:49 UTC 2025","Wed May 28 07:40:49 UTC 2025","496","A - A - A - Unity API Automation","Fund Transfer","","","","INTRA",""
"passed","Wed May 28 07:40:46 UTC 2025","Wed May 28 07:40:47 UTC 2025","817","A - A - A - Unity API Automation","Login","","","","User Login",""
"failed","Wed May 28 07:40:52 UTC 2025","Wed May 28 07:40:52 UTC 2025","252","A - A - A - Unity API Automation","Excel Detailed Statement","","","","Excel Detailed Statement",""
"passed","Wed May 28 07:40:49 UTC 2025","Wed May 28 07:40:50 UTC 2025","256","A - A - A - Unity API Automation","INTRA Beneficiary","","","","INTRA Beneficiary Add Validate",""
"failed","Wed May 28 07:40:48 UTC 2025","Wed May 28 07:40:48 UTC 2025","500","A - A - A - Unity API Automation","Fund Transfer","","","","NEFT",""
"failed","Wed May 28 07:40:52 UTC 2025","Wed May 28 07:40:52 UTC 2025","248","A - A - A - Unity API Automation","Mini Statement","","","","PDF Mini Statement",""
"passed","Wed May 28 07:40:50 UTC 2025","Wed May 28 07:40:50 UTC 2025","254","A - A - A - Unity API Automation","INTRA Beneficiary","","","","Delete Validate",""
"passed","Wed May 28 07:40:50 UTC 2025","Wed May 28 07:40:50 UTC 2025","250","A - A - A - Unity API Automation","INTRA Beneficiary","","","","Beneficiary Search",""
"passed","Wed May 28 07:40:50 UTC 2025","Wed May 28 07:40:50 UTC 2025","253","A - A - A - Unity API Automation","INTRA Beneficiary","","","","Beneficiary add",""
"failed","Wed May 28 07:40:53 UTC 2025","Wed May 28 07:40:54 UTC 2025","251","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Last FY",""
"failed","Wed May 28 07:40:54 UTC 2025","Wed May 28 07:40:54 UTC 2025","249","A - A - A - Unity API Automation","","","","","Log Out",""
"failed","Wed May 28 07:40:54 UTC 2025","Wed May 28 07:40:54 UTC 2025","250","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Custom Range",""
