"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","401","beneficiary Delete","Unity API Automation","Fri May 30 01:32:14 IST 2025","passed","Fri May 30 01:32:14 IST 2025","Inter Beneficiary","Business","",""
"","2216","PDF Mini Statement","Unity API Automation","Fri May 30 01:30:55 IST 2025","passed","Fri May 30 01:30:57 IST 2025","Mini Statement","Retail","",""
"","6713","INTRA","Unity API Automation","Fri May 30 01:32:04 IST 2025","passed","Fri May 30 01:32:11 IST 2025","Fund Transfer","Business","",""
"","5123","Excel Detailed Statement","Unity API Automation","Fri May 30 01:30:50 IST 2025","passed","Fri May 30 01:30:55 IST 2025","Excel Detailed Statement","Retail","",""
"","492","Account","Unity API Automation","Fri May 30 01:30:23 IST 2025","passed","Fri May 30 01:30:24 IST 2025","Login","Retail","",""
"","1135","INTRA Beneficiary Add Validate","Unity API Automation","Fri May 30 01:32:11 IST 2025","passed","Fri May 30 01:32:12 IST 2025","INTRA Beneficiary","Business","",""
"","99","Log Out","Unity API Automation","Fri May 30 01:32:23 IST 2025","passed","Fri May 30 01:32:23 IST 2025","Logout","Business","",""
"","1426","PDF Last 90 Days","Unity API Automation","Fri May 30 01:32:20 IST 2025","passed","Fri May 30 01:32:22 IST 2025","PDF Detail Statement","Business","",""
"","5866","PDF Last Month","Unity API Automation","Fri May 30 01:31:05 IST 2025","passed","Fri May 30 01:31:11 IST 2025","PDF Detail Statement","Retail","",""
"","190","Beneficiary Search","Unity API Automation","Fri May 30 01:32:14 IST 2025","passed","Fri May 30 01:32:14 IST 2025","Inter Beneficiary","Business","",""
"","199","Delete Validate","Unity API Automation","Fri May 30 01:32:14 IST 2025","passed","Fri May 30 01:32:14 IST 2025","Inter Beneficiary","Business","",""
"","529","Beneficiary add","Unity API Automation","Fri May 30 01:30:46 IST 2025","passed","Fri May 30 01:30:47 IST 2025","INTRA Beneficiary","Retail","",""
"","5411","IMPS","Unity API Automation","Fri May 30 01:30:33 IST 2025","passed","Fri May 30 01:30:39 IST 2025","Fund Transfer","Retail","",""
"","1104","PDF This Month","Unity API Automation","Fri May 30 01:32:17 IST 2025","passed","Fri May 30 01:32:18 IST 2025","PDF Detail Statement","Business","",""
"","308","Beneficiary Search","Unity API Automation","Fri May 30 01:30:47 IST 2025","passed","Fri May 30 01:30:47 IST 2025","INTRA Beneficiary","Retail","",""
"","340","INTER Beneficiary Add Validate","Unity API Automation","Fri May 30 01:32:13 IST 2025","passed","Fri May 30 01:32:13 IST 2025","Inter Beneficiary","Business","",""
"","9259","NEFT","Unity API Automation","Fri May 30 01:30:24 IST 2025","passed","Fri May 30 01:30:33 IST 2025","Fund Transfer","Retail","",""
"","178","Beneficiary Search","Unity API Automation","Fri May 30 01:32:12 IST 2025","passed","Fri May 30 01:32:12 IST 2025","INTRA Beneficiary","Business","",""
"","1083","Excel Detailed Statement","Unity API Automation","Fri May 30 01:32:14 IST 2025","passed","Fri May 30 01:32:16 IST 2025","Excel Detailed Statement","Business","",""
"","199","Delete Validate","Unity API Automation","Fri May 30 01:30:49 IST 2025","passed","Fri May 30 01:30:49 IST 2025","Inter Beneficiary","Retail","",""
"","349","User Login","Unity API Automation","Fri May 30 01:31:48 IST 2025","passed","Fri May 30 01:31:48 IST 2025","Login","Business","",""
"","1601","Excel Mini Statement","Unity API Automation","Fri May 30 01:30:57 IST 2025","passed","Fri May 30 01:30:59 IST 2025","Mini Statement","Retail","",""
"","484","beneficiary Delete","Unity API Automation","Fri May 30 01:30:48 IST 2025","passed","Fri May 30 01:30:48 IST 2025","INTRA Beneficiary","Retail","",""
"","1332","PDF Custom Range","Unity API Automation","Fri May 30 01:32:22 IST 2025","passed","Fri May 30 01:32:23 IST 2025","PDF Detail Statement","Business","",""
"","11170","PDF Last 90 Days","Unity API Automation","Fri May 30 01:31:23 IST 2025","passed","Fri May 30 01:31:34 IST 2025","PDF Detail Statement","Retail","",""
"","10415","PDF Current FE","Unity API Automation","Fri May 30 01:31:11 IST 2025","passed","Fri May 30 01:31:22 IST 2025","PDF Detail Statement","Retail","",""
"","402","INTER Beneficiary Add Validate","Unity API Automation","Fri May 30 01:30:48 IST 2025","passed","Fri May 30 01:30:49 IST 2025","Inter Beneficiary","Retail","",""
