"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6917","PDF This Month","Unity API Automation","Fri May 30 01:30:59 IST 2025","passed","Fri May 30 01:31:05 IST 2025","PDF Detail Statement","Retail","",""
"","505","Beneficiary Add","Unity API Automation","Fri May 30 01:32:13 IST 2025","passed","Fri May 30 01:32:14 IST 2025","Inter Beneficiary","Business","",""
"","685","Verify OTP","Unity API Automation","Fri May 30 01:31:48 IST 2025","passed","Fri May 30 01:31:49 IST 2025","Login","Business","",""
"","6316","IMPS","Unity API Automation","Fri May 30 01:31:58 IST 2025","passed","Fri May 30 01:32:04 IST 2025","Fund Transfer","Business","",""
"","747","PDF Mini Statement","Unity API Automation","Fri May 30 01:32:16 IST 2025","passed","Fri May 30 01:32:16 IST 2025","Mini Statement","Business","",""
"","1650","User Login","Unity API Automation","Fri May 30 01:30:21 IST 2025","passed","Fri May 30 01:30:23 IST 2025","Login","Retail","",""
"","403","PDF Last Month","Unity API Automation","Fri May 30 01:32:18 IST 2025","failed","Fri May 30 01:32:18 IST 2025","PDF Detail Statement","Business","",""
"","102","Log Out","Unity API Automation","Fri May 30 01:31:48 IST 2025","passed","Fri May 30 01:31:48 IST 2025","Logout","Retail","",""
"","463","Verify OTP","Unity API Automation","Fri May 30 01:30:23 IST 2025","passed","Fri May 30 01:30:23 IST 2025","Login","Retail","",""
"","175","Beneficiary Search","Unity API Automation","Fri May 30 01:30:49 IST 2025","passed","Fri May 30 01:30:49 IST 2025","Inter Beneficiary","Retail","",""
"","360","PDF Last FY","Unity API Automation","Fri May 30 01:32:20 IST 2025","failed","Fri May 30 01:32:20 IST 2025","PDF Detail Statement","Business","",""
"","378","beneficiary Delete","Unity API Automation","Fri May 30 01:30:49 IST 2025","passed","Fri May 30 01:30:50 IST 2025","Inter Beneficiary","Retail","",""
"","6678","INTRA","Unity API Automation","Fri May 30 01:30:39 IST 2025","passed","Fri May 30 01:30:45 IST 2025","Fund Transfer","Retail","",""
"","144","beneficiary Delete","Unity API Automation","Fri May 30 01:32:13 IST 2025","passed","Fri May 30 01:32:13 IST 2025","INTRA Beneficiary","Business","",""
"","366","Search Beneficiary","Unity API Automation","Fri May 30 01:30:23 IST 2025","passed","Fri May 30 01:30:23 IST 2025","Login","Retail","",""
"","197","Delete Validate","Unity API Automation","Fri May 30 01:32:12 IST 2025","passed","Fri May 30 01:32:13 IST 2025","INTRA Beneficiary","Business","",""
"","874","INTRA Beneficiary Add Validate","Unity API Automation","Fri May 30 01:30:45 IST 2025","passed","Fri May 30 01:30:46 IST 2025","INTRA Beneficiary","Retail","",""
"","918","Account","Unity API Automation","Fri May 30 01:31:49 IST 2025","passed","Fri May 30 01:31:50 IST 2025","Login","Business","",""
"","7754","NEFT","Unity API Automation","Fri May 30 01:31:50 IST 2025","passed","Fri May 30 01:31:58 IST 2025","Fund Transfer","Business","",""
"","314","Beneficiary Add","Unity API Automation","Fri May 30 01:30:49 IST 2025","passed","Fri May 30 01:30:49 IST 2025","Inter Beneficiary","Retail","",""
"","1571","PDF Current FE","Unity API Automation","Fri May 30 01:32:18 IST 2025","passed","Fri May 30 01:32:20 IST 2025","PDF Detail Statement","Business","",""
"","788","PDF Last FY","Unity API Automation","Fri May 30 01:31:22 IST 2025","passed","Fri May 30 01:31:23 IST 2025","PDF Detail Statement","Retail","",""
"","680","Excel Mini Statement","Unity API Automation","Fri May 30 01:32:16 IST 2025","passed","Fri May 30 01:32:17 IST 2025","Mini Statement","Business","",""
"","117","Search Beneficiary","Unity API Automation","Fri May 30 01:31:49 IST 2025","passed","Fri May 30 01:31:49 IST 2025","Login","Business","",""
"","14136","PDF Custom Range","Unity API Automation","Fri May 30 01:31:34 IST 2025","passed","Fri May 30 01:31:48 IST 2025","PDF Detail Statement","Retail","",""
"","604","Delete Validate","Unity API Automation","Fri May 30 01:30:47 IST 2025","passed","Fri May 30 01:30:48 IST 2025","INTRA Beneficiary","Retail","",""
"","259","Beneficiary add","Unity API Automation","Fri May 30 01:32:12 IST 2025","passed","Fri May 30 01:32:12 IST 2025","INTRA Beneficiary","Business","",""
