"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu May 29 06:43:18 UTC 2025","Thu May 29 06:43:19 UTC 2025","484","A - A - A - Unity API Automation","Fund Transfer","","","","IMPS",""
"failed","Thu May 29 06:43:22 UTC 2025","Thu May 29 06:43:22 UTC 2025","252","A - A - A - Unity API Automation","Excel Detailed Statement","","","","Excel Detailed Statement",""
"passed","Thu May 29 06:43:21 UTC 2025","Thu May 29 06:43:21 UTC 2025","248","A - A - A - Unity API Automation","Inter Beneficiary","","","","Delete Validate",""
"failed","Thu May 29 06:43:23 UTC 2025","Thu May 29 06:43:24 UTC 2025","252","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Last 90 Days",""
"failed","Thu May 29 06:43:23 UTC 2025","Thu May 29 06:43:23 UTC 2025","250","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Last Month",""
"failed","Thu May 29 06:43:22 UTC 2025","Thu May 29 06:43:22 UTC 2025","251","A - A - A - Unity API Automation","Mini Statement","","","","PDF Mini Statement",""
"failed","Thu May 29 06:43:22 UTC 2025","Thu May 29 06:43:22 UTC 2025","250","A - A - A - Unity API Automation","Mini Statement","","","","Excel Mini Statement",""
"passed","Thu May 29 06:43:17 UTC 2025","Thu May 29 06:43:17 UTC 2025","249","A - A - A - Unity API Automation","Login","","","","User Login",""
"failed","Thu May 29 06:43:17 UTC 2025","Thu May 29 06:43:18 UTC 2025","250","A - A - A - Unity API Automation","Login","","","","Account",""
"failed","Thu May 29 06:43:20 UTC 2025","Thu May 29 06:43:20 UTC 2025","249","A - A - A - Unity API Automation","INTRA Beneficiary","","","","beneficiary Delete",""
"failed","Thu May 29 06:43:22 UTC 2025","Thu May 29 06:43:23 UTC 2025","251","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF This Month",""
"passed","Thu May 29 06:43:21 UTC 2025","Thu May 29 06:43:21 UTC 2025","249","A - A - A - Unity API Automation","Inter Beneficiary","","","","Beneficiary Search",""
"passed","Thu May 29 06:43:19 UTC 2025","Thu May 29 06:43:20 UTC 2025","247","A - A - A - Unity API Automation","INTRA Beneficiary","","","","Beneficiary add",""
"passed","Thu May 29 06:43:20 UTC 2025","Thu May 29 06:43:21 UTC 2025","251","A - A - A - Unity API Automation","Inter Beneficiary","","","","INTER Beneficiary Add Validate",""
"failed","Thu May 29 06:43:23 UTC 2025","Thu May 29 06:43:23 UTC 2025","251","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Current FE",""
"passed","Thu May 29 06:43:20 UTC 2025","Thu May 29 06:43:20 UTC 2025","247","A - A - A - Unity API Automation","INTRA Beneficiary","","","","Delete Validate",""
"failed","Thu May 29 06:43:21 UTC 2025","Thu May 29 06:43:22 UTC 2025","251","A - A - A - Unity API Automation","Inter Beneficiary","","","","beneficiary Delete",""
"failed","Thu May 29 06:43:17 UTC 2025","Thu May 29 06:43:17 UTC 2025","253","A - A - A - Unity API Automation","Login","","","","Search Beneficiary",""
"failed","Thu May 29 06:43:19 UTC 2025","Thu May 29 06:43:19 UTC 2025","484","A - A - A - Unity API Automation","Fund Transfer","","","","INTRA",""
"failed","Thu May 29 06:43:24 UTC 2025","Thu May 29 06:43:24 UTC 2025","252","A - A - A - Unity API Automation","","","","","Log Out",""
"passed","Thu May 29 06:43:19 UTC 2025","Thu May 29 06:43:19 UTC 2025","248","A - A - A - Unity API Automation","INTRA Beneficiary","","","","INTRA Beneficiary Add Validate",""
"passed","Thu May 29 06:43:20 UTC 2025","Thu May 29 06:43:20 UTC 2025","249","A - A - A - Unity API Automation","INTRA Beneficiary","","","","Beneficiary Search",""
"passed","Thu May 29 06:43:17 UTC 2025","Thu May 29 06:43:17 UTC 2025","248","A - A - A - Unity API Automation","Login","","","","Verify OTP",""
"passed","Thu May 29 06:43:21 UTC 2025","Thu May 29 06:43:21 UTC 2025","247","A - A - A - Unity API Automation","Inter Beneficiary","","","","Beneficiary Add",""
"failed","Thu May 29 06:43:24 UTC 2025","Thu May 29 06:43:24 UTC 2025","249","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Custom Range",""
"failed","Thu May 29 06:43:18 UTC 2025","Thu May 29 06:43:18 UTC 2025","482","A - A - A - Unity API Automation","Fund Transfer","","","","NEFT",""
"failed","Thu May 29 06:43:23 UTC 2025","Thu May 29 06:43:23 UTC 2025","249","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Last FY",""
