"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu May 29 06:20:20 UTC 2025","Thu May 29 06:20:20 UTC 2025","228","A - A - A - Unity API Automation","Mini Statement","","","","PDF Mini Statement",""
"failed","Thu May 29 06:20:20 UTC 2025","Thu May 29 06:20:20 UTC 2025","227","A - A - A - Unity API Automation","Inter Beneficiary","","","","beneficiary Delete",""
"passed","Thu May 29 06:20:19 UTC 2025","Thu May 29 06:20:19 UTC 2025","227","A - A - A - Unity API Automation","Inter Beneficiary","","","","INTER Beneficiary Add Validate",""
"passed","Thu May 29 06:20:15 UTC 2025","Thu May 29 06:20:16 UTC 2025","229","A - A - A - Unity API Automation","Login","","","","Verify OTP",""
"failed","Thu May 29 06:20:22 UTC 2025","Thu May 29 06:20:22 UTC 2025","228","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Custom Range",""
"failed","Thu May 29 06:20:16 UTC 2025","Thu May 29 06:20:16 UTC 2025","230","A - A - A - Unity API Automation","Login","","","","Account",""
"passed","Thu May 29 06:20:18 UTC 2025","Thu May 29 06:20:18 UTC 2025","227","A - A - A - Unity API Automation","INTRA Beneficiary","","","","Beneficiary add",""
"passed","Thu May 29 06:20:15 UTC 2025","Thu May 29 06:20:15 UTC 2025","229","A - A - A - Unity API Automation","Login","","","","User Login",""
"failed","Thu May 29 06:20:21 UTC 2025","Thu May 29 06:20:22 UTC 2025","230","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Last 90 Days",""
"failed","Thu May 29 06:20:16 UTC 2025","Thu May 29 06:20:17 UTC 2025","443","A - A - A - Unity API Automation","Fund Transfer","","","","NEFT",""
"failed","Thu May 29 06:20:22 UTC 2025","Thu May 29 06:20:22 UTC 2025","230","A - A - A - Unity API Automation","","","","","Log Out",""
"passed","Thu May 29 06:20:18 UTC 2025","Thu May 29 06:20:18 UTC 2025","240","A - A - A - Unity API Automation","INTRA Beneficiary","","","","Beneficiary Search",""
"failed","Thu May 29 06:20:20 UTC 2025","Thu May 29 06:20:20 UTC 2025","228","A - A - A - Unity API Automation","Mini Statement","","","","Excel Mini Statement",""
"passed","Thu May 29 06:20:17 UTC 2025","Thu May 29 06:20:18 UTC 2025","227","A - A - A - Unity API Automation","INTRA Beneficiary","","","","INTRA Beneficiary Add Validate",""
"failed","Thu May 29 06:20:17 UTC 2025","Thu May 29 06:20:17 UTC 2025","442","A - A - A - Unity API Automation","Fund Transfer","","","","IMPS",""
"failed","Thu May 29 06:20:18 UTC 2025","Thu May 29 06:20:19 UTC 2025","228","A - A - A - Unity API Automation","INTRA Beneficiary","","","","beneficiary Delete",""
"failed","Thu May 29 06:20:21 UTC 2025","Thu May 29 06:20:21 UTC 2025","228","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Last FY",""
"failed","Thu May 29 06:20:20 UTC 2025","Thu May 29 06:20:20 UTC 2025","233","A - A - A - Unity API Automation","Excel Detailed Statement","","","","Excel Detailed Statement",""
"failed","Thu May 29 06:20:21 UTC 2025","Thu May 29 06:20:21 UTC 2025","231","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Current FE",""
"failed","Thu May 29 06:20:16 UTC 2025","Thu May 29 06:20:16 UTC 2025","232","A - A - A - Unity API Automation","Login","","","","Search Beneficiary",""
"passed","Thu May 29 06:20:19 UTC 2025","Thu May 29 06:20:20 UTC 2025","226","A - A - A - Unity API Automation","Inter Beneficiary","","","","Delete Validate",""
"failed","Thu May 29 06:20:20 UTC 2025","Thu May 29 06:20:21 UTC 2025","229","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF This Month",""
"failed","Thu May 29 06:20:21 UTC 2025","Thu May 29 06:20:21 UTC 2025","230","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Last Month",""
"passed","Thu May 29 06:20:18 UTC 2025","Thu May 29 06:20:18 UTC 2025","227","A - A - A - Unity API Automation","INTRA Beneficiary","","","","Delete Validate",""
"failed","Thu May 29 06:20:17 UTC 2025","Thu May 29 06:20:17 UTC 2025","443","A - A - A - Unity API Automation","Fund Transfer","","","","INTRA",""
"passed","Thu May 29 06:20:19 UTC 2025","Thu May 29 06:20:19 UTC 2025","227","A - A - A - Unity API Automation","Inter Beneficiary","","","","Beneficiary Search",""
"passed","Thu May 29 06:20:19 UTC 2025","Thu May 29 06:20:19 UTC 2025","226","A - A - A - Unity API Automation","Inter Beneficiary","","","","Beneficiary Add",""
