"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","175","IMPS","A - A - A - Unity API Automation","Thu May 29 21:25:41 IST 2025","failed","Thu May 29 21:25:41 IST 2025","","Fund Transfer","",""
"","98","Search Beneficiary","A - A - A - Unity API Automation","Thu May 29 21:25:41 IST 2025","failed","Thu May 29 21:25:41 IST 2025","","Login","",""
"","95","Delete Validate","A - A - A - Unity API Automation","Thu May 29 21:25:42 IST 2025","failed","Thu May 29 21:25:42 IST 2025","","INTRA Beneficiary","",""
"","79","Excel Mini Statement","A - A - A - Unity API Automation","Thu May 29 21:25:43 IST 2025","failed","Thu May 29 21:25:43 IST 2025","","Mini Statement","",""
"","90","Beneficiary add","A - A - A - Unity API Automation","Thu May 29 21:25:42 IST 2025","failed","Thu May 29 21:25:42 IST 2025","","INTRA Beneficiary","",""
"","60","Excel Detailed Statement","A - A - A - Unity API Automation","Thu May 29 21:25:43 IST 2025","failed","Thu May 29 21:25:43 IST 2025","","Excel Detailed Statement","",""
"","266","User Login","A - A - A - Unity API Automation","Thu May 29 21:25:40 IST 2025","failed","Thu May 29 21:25:40 IST 2025","","Login","",""
"","104","Account","A - A - A - Unity API Automation","Thu May 29 21:25:41 IST 2025","failed","Thu May 29 21:25:41 IST 2025","","Login","",""
"","98","Log Out","A - A - A - Unity API Automation","Thu May 29 21:25:44 IST 2025","failed","Thu May 29 21:25:44 IST 2025","","","",""
"","206","Delete Validate","A - A - A - Unity API Automation","Thu May 29 21:25:43 IST 2025","failed","Thu May 29 21:25:43 IST 2025","","Inter Beneficiary","",""
"","236","NEFT","A - A - A - Unity API Automation","Thu May 29 21:25:41 IST 2025","failed","Thu May 29 21:25:41 IST 2025","","Fund Transfer","",""
"","304","beneficiary Delete","A - A - A - Unity API Automation","Thu May 29 21:25:42 IST 2025","failed","Thu May 29 21:25:42 IST 2025","","INTRA Beneficiary","",""
"","79","Verify OTP","A - A - A - Unity API Automation","Thu May 29 21:25:41 IST 2025","failed","Thu May 29 21:25:41 IST 2025","","Login","",""
"","102","PDF Current FE","A - A - A - Unity API Automation","Thu May 29 21:25:43 IST 2025","failed","Thu May 29 21:25:43 IST 2025","","PDF Detail Statement","",""
"","91","INTER Beneficiary Add Validate","A - A - A - Unity API Automation","Thu May 29 21:25:42 IST 2025","failed","Thu May 29 21:25:42 IST 2025","","Inter Beneficiary","",""
"","96","beneficiary Delete","A - A - A - Unity API Automation","Thu May 29 21:25:43 IST 2025","failed","Thu May 29 21:25:43 IST 2025","","Inter Beneficiary","",""
"","233","INTRA","A - A - A - Unity API Automation","Thu May 29 21:25:41 IST 2025","failed","Thu May 29 21:25:41 IST 2025","","Fund Transfer","",""
"","96","INTRA Beneficiary Add Validate","A - A - A - Unity API Automation","Thu May 29 21:25:41 IST 2025","failed","Thu May 29 21:25:42 IST 2025","","INTRA Beneficiary","",""
"","99","PDF Custom Range","A - A - A - Unity API Automation","Thu May 29 21:25:44 IST 2025","failed","Thu May 29 21:25:44 IST 2025","","PDF Detail Statement","",""
"","101","PDF Last 90 Days","A - A - A - Unity API Automation","Thu May 29 21:25:43 IST 2025","failed","Thu May 29 21:25:44 IST 2025","","PDF Detail Statement","",""
"","63","PDF This Month","A - A - A - Unity API Automation","Thu May 29 21:25:43 IST 2025","failed","Thu May 29 21:25:43 IST 2025","","PDF Detail Statement","",""
"","100","PDF Last Month","A - A - A - Unity API Automation","Thu May 29 21:25:43 IST 2025","failed","Thu May 29 21:25:43 IST 2025","","PDF Detail Statement","",""
"","85","Beneficiary Search","A - A - A - Unity API Automation","Thu May 29 21:25:42 IST 2025","failed","Thu May 29 21:25:42 IST 2025","","INTRA Beneficiary","",""
"","98","PDF Last FY","A - A - A - Unity API Automation","Thu May 29 21:25:43 IST 2025","failed","Thu May 29 21:25:43 IST 2025","","PDF Detail Statement","",""
"","97","Beneficiary Search","A - A - A - Unity API Automation","Thu May 29 21:25:42 IST 2025","passed","Thu May 29 21:25:43 IST 2025","","Inter Beneficiary","",""
"","90","PDF Mini Statement","A - A - A - Unity API Automation","Thu May 29 21:25:43 IST 2025","failed","Thu May 29 21:25:43 IST 2025","","Mini Statement","",""
"","205","Beneficiary Add","A - A - A - Unity API Automation","Thu May 29 21:25:42 IST 2025","passed","Thu May 29 21:25:42 IST 2025","","Inter Beneficiary","",""
