"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 28 06:31:22 UTC 2025","Wed May 28 06:31:22 UTC 2025","242","A - A - A - Unity API Automation","Inter Beneficiary","","","","Beneficiary Search",""
"failed","Wed May 28 06:31:18 UTC 2025","Wed May 28 06:31:19 UTC 2025","244","A - A - A - Unity API Automation","Login","","","","Account",""
"failed","Wed May 28 06:31:24 UTC 2025","Wed May 28 06:31:25 UTC 2025","245","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Custom Range",""
"failed","Wed May 28 06:31:21 UTC 2025","Wed May 28 06:31:21 UTC 2025","244","A - A - A - Unity API Automation","INTRA Beneficiary","","","","beneficiary Delete",""
"passed","Wed May 28 06:31:21 UTC 2025","Wed May 28 06:31:21 UTC 2025","242","A - A - A - Unity API Automation","INTRA Beneficiary","","","","Delete Validate",""
"failed","Wed May 28 06:31:19 UTC 2025","Wed May 28 06:31:19 UTC 2025","473","A - A - A - Unity API Automation","Fund Transfer","","","","NEFT",""
"passed","Wed May 28 06:31:20 UTC 2025","Wed May 28 06:31:21 UTC 2025","243","A - A - A - Unity API Automation","INTRA Beneficiary","","","","Beneficiary Search",""
"passed","Wed May 28 06:31:18 UTC 2025","Wed May 28 06:31:18 UTC 2025","245","A - A - A - Unity API Automation","Login","","","","Verify OTP",""
"failed","Wed May 28 06:31:24 UTC 2025","Wed May 28 06:31:24 UTC 2025","250","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Current FE",""
"passed","Wed May 28 06:31:22 UTC 2025","Wed May 28 06:31:22 UTC 2025","245","A - A - A - Unity API Automation","Inter Beneficiary","","","","Delete Validate",""
"failed","Wed May 28 06:31:22 UTC 2025","Wed May 28 06:31:23 UTC 2025","246","A - A - A - Unity API Automation","Excel Detailed Statement","","","","Excel Detailed Statement",""
"passed","Wed May 28 06:31:21 UTC 2025","Wed May 28 06:31:22 UTC 2025","242","A - A - A - Unity API Automation","Inter Beneficiary","","","","Beneficiary Add",""
"passed","Wed May 28 06:31:20 UTC 2025","Wed May 28 06:31:20 UTC 2025","242","A - A - A - Unity API Automation","INTRA Beneficiary","","","","Beneficiary add",""
"failed","Wed May 28 06:31:24 UTC 2025","Wed May 28 06:31:24 UTC 2025","243","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Last 90 Days",""
"failed","Wed May 28 06:31:23 UTC 2025","Wed May 28 06:31:24 UTC 2025","252","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Last Month",""
"failed","Wed May 28 06:31:23 UTC 2025","Wed May 28 06:31:23 UTC 2025","244","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF This Month",""
"failed","Wed May 28 06:31:24 UTC 2025","Wed May 28 06:31:24 UTC 2025","244","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Last FY",""
"failed","Wed May 28 06:31:23 UTC 2025","Wed May 28 06:31:23 UTC 2025","244","A - A - A - Unity API Automation","Mini Statement","","","","Excel Mini Statement",""
"failed","Wed May 28 06:31:18 UTC 2025","Wed May 28 06:31:18 UTC 2025","245","A - A - A - Unity API Automation","Login","","","","Search Beneficiary",""
"failed","Wed May 28 06:31:23 UTC 2025","Wed May 28 06:31:23 UTC 2025","243","A - A - A - Unity API Automation","Mini Statement","","","","PDF Mini Statement",""
"failed","Wed May 28 06:31:25 UTC 2025","Wed May 28 06:31:25 UTC 2025","243","A - A - A - Unity API Automation","","","","","Log Out",""
"passed","Wed May 28 06:31:21 UTC 2025","Wed May 28 06:31:21 UTC 2025","243","A - A - A - Unity API Automation","Inter Beneficiary","","","","INTER Beneficiary Add Validate",""
"passed","Wed May 28 06:31:20 UTC 2025","Wed May 28 06:31:20 UTC 2025","242","A - A - A - Unity API Automation","INTRA Beneficiary","","","","INTRA Beneficiary Add Validate",""
"failed","Wed May 28 06:31:19 UTC 2025","Wed May 28 06:31:20 UTC 2025","472","A - A - A - Unity API Automation","Fund Transfer","","","","INTRA",""
"passed","Wed May 28 06:31:18 UTC 2025","Wed May 28 06:31:18 UTC 2025","242","A - A - A - Unity API Automation","Login","","","","User Login",""
"failed","Wed May 28 06:31:22 UTC 2025","Wed May 28 06:31:22 UTC 2025","242","A - A - A - Unity API Automation","Inter Beneficiary","","","","beneficiary Delete",""
"failed","Wed May 28 06:31:19 UTC 2025","Wed May 28 06:31:19 UTC 2025","475","A - A - A - Unity API Automation","Fund Transfer","","","","IMPS",""
