"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","171","beneficiary Delete","Unity API Automation","Fri May 30 14:26:57 IST 2025","passed","Fri May 30 14:26:57 IST 2025","Inter Beneficiary","Retail","",""
"","211","Search Beneficiary","Unity API Automation","Fri May 30 14:27:59 IST 2025","passed","Fri May 30 14:27:59 IST 2025","Login","Business","",""
"","6490","INTRA","Unity API Automation","Fri May 30 14:26:38 IST 2025","passed","Fri May 30 14:26:45 IST 2025","Fund Transfer","Retail","",""
"","8724","RTGS","Unity API Automation","Fri May 30 14:26:45 IST 2025","passed","Fri May 30 14:26:53 IST 2025","Fund Transfer","Retail","",""
"","10430","PDF Current FE","Unity API Automation","Fri May 30 14:27:16 IST 2025","passed","Fri May 30 14:27:27 IST 2025","PDF Detail Statement","Retail","",""
"","222","Delete Validate","Unity API Automation","Fri May 30 14:28:23 IST 2025","passed","Fri May 30 14:28:23 IST 2025","INTRA Beneficiary","Business","",""
"","904","Excel Detailed Statement","Unity API Automation","Fri May 30 14:28:26 IST 2025","passed","Fri May 30 14:28:27 IST 2025","Excel Detailed Statement","Business","",""
"","278","Log Out","Unity API Automation","Fri May 30 14:28:36 IST 2025","passed","Fri May 30 14:28:36 IST 2025","Logout","Business","",""
"","391","PDF Last Month","Unity API Automation","Fri May 30 14:28:31 IST 2025","failed","Fri May 30 14:28:31 IST 2025","PDF Detail Statement","Business","",""
"","793","beneficiary Delete","Unity API Automation","Fri May 30 14:26:55 IST 2025","passed","Fri May 30 14:26:56 IST 2025","INTRA Beneficiary","Retail","",""
"","2076","Excel Mini Statement","Unity API Automation","Fri May 30 14:27:02 IST 2025","passed","Fri May 30 14:27:04 IST 2025","Mini Statement","Retail","",""
"","5849","INTRA","Unity API Automation","Fri May 30 14:28:12 IST 2025","passed","Fri May 30 14:28:18 IST 2025","Fund Transfer","Business","",""
"","522","User Login","Unity API Automation","Fri May 30 14:27:57 IST 2025","passed","Fri May 30 14:27:58 IST 2025","Login","Business","",""
"","2882","Excel Detailed Statement","Unity API Automation","Fri May 30 14:26:57 IST 2025","passed","Fri May 30 14:27:00 IST 2025","Excel Detailed Statement","Retail","",""
"","784","PDF Custom Range","Unity API Automation","Fri May 30 14:28:35 IST 2025","passed","Fri May 30 14:28:36 IST 2025","PDF Detail Statement","Business","",""
"","115","Beneficiary Search","Unity API Automation","Fri May 30 14:26:57 IST 2025","passed","Fri May 30 14:26:57 IST 2025","Inter Beneficiary","Retail","",""
"","248","Search Beneficiary","Unity API Automation","Fri May 30 14:26:27 IST 2025","passed","Fri May 30 14:26:27 IST 2025","Login","Retail","",""
"","200","Delete Validate","Unity API Automation","Fri May 30 14:26:55 IST 2025","passed","Fri May 30 14:26:55 IST 2025","INTRA Beneficiary","Retail","",""
"","13455","PDF Last 90 Days","Unity API Automation","Fri May 30 14:27:28 IST 2025","passed","Fri May 30 14:27:42 IST 2025","PDF Detail Statement","Retail","",""
"","217","Delete Validate","Unity API Automation","Fri May 30 14:26:57 IST 2025","passed","Fri May 30 14:26:57 IST 2025","Inter Beneficiary","Retail","",""
"","962","Excel Mini Statement","Unity API Automation","Fri May 30 14:28:28 IST 2025","passed","Fri May 30 14:28:29 IST 2025","Mini Statement","Business","",""
"","839","Verify OTP","Unity API Automation","Fri May 30 14:27:58 IST 2025","passed","Fri May 30 14:27:59 IST 2025","Login","Business","",""
"","14689","PDF Custom Range","Unity API Automation","Fri May 30 14:27:42 IST 2025","passed","Fri May 30 14:27:56 IST 2025","PDF Detail Statement","Retail","",""
"","686","Beneficiary add","Unity API Automation","Fri May 30 14:28:22 IST 2025","passed","Fri May 30 14:28:23 IST 2025","INTRA Beneficiary","Business","",""
"","164","Delete Validate","Unity API Automation","Fri May 30 14:28:25 IST 2025","passed","Fri May 30 14:28:25 IST 2025","Inter Beneficiary","Business","",""
"","627","beneficiary Delete","Unity API Automation","Fri May 30 14:28:25 IST 2025","passed","Fri May 30 14:28:26 IST 2025","Inter Beneficiary","Business","",""
"","5434","NEFT","Unity API Automation","Fri May 30 14:28:01 IST 2025","passed","Fri May 30 14:28:06 IST 2025","Fund Transfer","Business","",""
"","464","INTER Beneficiary Add Validate","Unity API Automation","Fri May 30 14:28:24 IST 2025","passed","Fri May 30 14:28:24 IST 2025","Inter Beneficiary","Business","",""
"","1392","PDF Last FY","Unity API Automation","Fri May 30 14:27:27 IST 2025","passed","Fri May 30 14:27:28 IST 2025","PDF Detail Statement","Retail","",""
"","1811","PDF Current FE","Unity API Automation","Fri May 30 14:28:31 IST 2025","passed","Fri May 30 14:28:33 IST 2025","PDF Detail Statement","Business","",""
"","511","Beneficiary Add","Unity API Automation","Fri May 30 14:26:56 IST 2025","passed","Fri May 30 14:26:57 IST 2025","Inter Beneficiary","Retail","",""
"","755","PDF Mini Statement","Unity API Automation","Fri May 30 14:28:27 IST 2025","passed","Fri May 30 14:28:28 IST 2025","Mini Statement","Business","",""
"","411","INTRA Beneficiary Add Validate","Unity API Automation","Fri May 30 14:28:22 IST 2025","passed","Fri May 30 14:28:22 IST 2025","INTRA Beneficiary","Business","",""
"","644","beneficiary Delete","Unity API Automation","Fri May 30 14:28:23 IST 2025","passed","Fri May 30 14:28:24 IST 2025","INTRA Beneficiary","Business","",""
"","337","Beneficiary add","Unity API Automation","Fri May 30 14:26:55 IST 2025","passed","Fri May 30 14:26:55 IST 2025","INTRA Beneficiary","Retail","",""
"","4862","IMPS","Unity API Automation","Fri May 30 14:26:33 IST 2025","passed","Fri May 30 14:26:38 IST 2025","Fund Transfer","Retail","",""
"","5605","PDF Last Month","Unity API Automation","Fri May 30 14:27:11 IST 2025","passed","Fri May 30 14:27:16 IST 2025","PDF Detail Statement","Retail","",""
"","1227","INTRA Beneficiary Add Validate","Unity API Automation","Fri May 30 14:26:53 IST 2025","passed","Fri May 30 14:26:55 IST 2025","INTRA Beneficiary","Retail","",""
"","5668","IMPS","Unity API Automation","Fri May 30 14:28:06 IST 2025","passed","Fri May 30 14:28:12 IST 2025","Fund Transfer","Business","",""
"","377","INTER Beneficiary Add Validate","Unity API Automation","Fri May 30 14:26:56 IST 2025","passed","Fri May 30 14:26:56 IST 2025","Inter Beneficiary","Retail","",""
"","1593","Account","Unity API Automation","Fri May 30 14:27:59 IST 2025","passed","Fri May 30 14:28:01 IST 2025","Login","Business","",""
"","1541","PDF Mini Statement","Unity API Automation","Fri May 30 14:27:00 IST 2025","passed","Fri May 30 14:27:02 IST 2025","Mini Statement","Retail","",""
"","1914","PDF This Month","Unity API Automation","Fri May 30 14:28:29 IST 2025","passed","Fri May 30 14:28:31 IST 2025","PDF Detail Statement","Business","",""
"","698","Beneficiary Add","Unity API Automation","Fri May 30 14:28:24 IST 2025","passed","Fri May 30 14:28:25 IST 2025","Inter Beneficiary","Business","",""
"","100","Beneficiary Search","Unity API Automation","Fri May 30 14:26:55 IST 2025","passed","Fri May 30 14:26:55 IST 2025","INTRA Beneficiary","Retail","",""
"","120","Beneficiary Search","Unity API Automation","Fri May 30 14:28:25 IST 2025","passed","Fri May 30 14:28:25 IST 2025","Inter Beneficiary","Business","",""
"","153","Beneficiary Search","Unity API Automation","Fri May 30 14:28:23 IST 2025","passed","Fri May 30 14:28:23 IST 2025","INTRA Beneficiary","Business","",""
"","629","Verify OTP","Unity API Automation","Fri May 30 14:26:27 IST 2025","passed","Fri May 30 14:26:27 IST 2025","Login","Retail","",""
"","410","Account","Unity API Automation","Fri May 30 14:26:27 IST 2025","passed","Fri May 30 14:26:28 IST 2025","Login","Retail","",""
