"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 28 07:19:44 UTC 2025","Wed May 28 07:19:45 UTC 2025","217","A - A - A - Unity API Automation","RD","","","","FD Rate Lists",""
"failed","Wed May 28 07:19:42 UTC 2025","Wed May 28 07:19:43 UTC 2025","225","A - A - A - Unity API Automation","Mini Statement","","","","PDF Mini Statement",""
"passed","Wed May 28 07:19:40 UTC 2025","Wed May 28 07:19:40 UTC 2025","227","A - A - A - Unity API Automation","INTRA Beneficiary","","","","Beneficiary Search",""
"passed","Wed May 28 07:19:40 UTC 2025","Wed May 28 07:19:41 UTC 2025","228","A - A - A - Unity API Automation","INTRA Beneficiary","","","","Delete Validate",""
"failed","Wed May 28 07:19:43 UTC 2025","Wed May 28 07:19:43 UTC 2025","226","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Last Month",""
"failed","Wed May 28 07:19:43 UTC 2025","Wed May 28 07:19:44 UTC 2025","229","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Last FY",""
"failed","Wed May 28 07:19:43 UTC 2025","Wed May 28 07:19:43 UTC 2025","229","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF This Month",""
"failed","Wed May 28 07:19:38 UTC 2025","Wed May 28 07:19:39 UTC 2025","440","A - A - A - Unity API Automation","Fund Transfer","","","","IMPS",""
"failed","Wed May 28 07:19:42 UTC 2025","Wed May 28 07:19:42 UTC 2025","227","A - A - A - Unity API Automation","Inter Beneficiary","","","","beneficiary Delete",""
"failed","Wed May 28 07:19:38 UTC 2025","Wed May 28 07:19:38 UTC 2025","228","A - A - A - Unity API Automation","Login","","","","Account",""
"passed","Wed May 28 07:19:37 UTC 2025","Wed May 28 07:19:38 UTC 2025","225","A - A - A - Unity API Automation","Login","","","","Verify OTP",""
"failed","Wed May 28 07:19:39 UTC 2025","Wed May 28 07:19:40 UTC 2025","439","A - A - A - Unity API Automation","Fund Transfer","","","","RTGS",""
"failed","Wed May 28 07:19:44 UTC 2025","Wed May 28 07:19:44 UTC 2025","227","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Custom Range",""
"failed","Wed May 28 07:19:43 UTC 2025","Wed May 28 07:19:43 UTC 2025","229","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Current FE",""
"failed","Wed May 28 07:19:39 UTC 2025","Wed May 28 07:19:39 UTC 2025","439","A - A - A - Unity API Automation","Fund Transfer","","","","INTRA",""
"failed","Wed May 28 07:19:45 UTC 2025","Wed May 28 07:19:45 UTC 2025","229","A - A - A - Unity API Automation","","","","","Log Out",""
"passed","Wed May 28 07:19:40 UTC 2025","Wed May 28 07:19:40 UTC 2025","229","A - A - A - Unity API Automation","INTRA Beneficiary","","","","INTRA Beneficiary Add Validate",""
"failed","Wed May 28 07:19:38 UTC 2025","Wed May 28 07:19:38 UTC 2025","440","A - A - A - Unity API Automation","Fund Transfer","","","","NEFT",""
"passed","Wed May 28 07:19:41 UTC 2025","Wed May 28 07:19:41 UTC 2025","226","A - A - A - Unity API Automation","Inter Beneficiary","","","","Beneficiary Add",""
"passed","Wed May 28 07:19:42 UTC 2025","Wed May 28 07:19:42 UTC 2025","225","A - A - A - Unity API Automation","Inter Beneficiary","","","","Delete Validate",""
"failed","Wed May 28 07:19:43 UTC 2025","Wed May 28 07:19:43 UTC 2025","227","A - A - A - Unity API Automation","Mini Statement","","","","Excel Mini Statement",""
"passed","Wed May 28 07:19:37 UTC 2025","Wed May 28 07:19:37 UTC 2025","228","A - A - A - Unity API Automation","Login","","","","User Login",""
"passed","Wed May 28 07:19:41 UTC 2025","Wed May 28 07:19:41 UTC 2025","227","A - A - A - Unity API Automation","Inter Beneficiary","","","","INTER Beneficiary Add Validate",""
"passed","Wed May 28 07:19:41 UTC 2025","Wed May 28 07:19:42 UTC 2025","227","A - A - A - Unity API Automation","Inter Beneficiary","","","","Beneficiary Search",""
"failed","Wed May 28 07:19:38 UTC 2025","Wed May 28 07:19:38 UTC 2025","229","A - A - A - Unity API Automation","Login","","","","Search Beneficiary",""
"passed","Wed May 28 07:19:40 UTC 2025","Wed May 28 07:19:40 UTC 2025","227","A - A - A - Unity API Automation","INTRA Beneficiary","","","","Beneficiary add",""
"passed","Wed May 28 07:19:44 UTC 2025","Wed May 28 07:19:44 UTC 2025","218","A - A - A - Unity API Automation","RD","","","","Fetch Deposits",""
"failed","Wed May 28 07:19:44 UTC 2025","Wed May 28 07:19:44 UTC 2025","230","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Last 90 Days",""
"failed","Wed May 28 07:19:42 UTC 2025","Wed May 28 07:19:42 UTC 2025","231","A - A - A - Unity API Automation","Excel Detailed Statement","","","","Excel Detailed Statement",""
"failed","Wed May 28 07:19:41 UTC 2025","Wed May 28 07:19:41 UTC 2025","228","A - A - A - Unity API Automation","INTRA Beneficiary","","","","beneficiary Delete",""
